15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	4	15	4	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	4	15	4	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	4	9	4	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	3	15	3	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	3	15	3	15	1	15	1	15	3	15	3	15
15	15	15	15	15	15	15	15	15	15	15	15	15
1	15	1	1	15	3	15	3	15	1	1	15	1
15	15	15	15	15	15	15	15	15	15	15	15	15
8	15	3	3	15	1	15	1	15	3	3	15	8
15	15	15	15	15	15	15	15	15	15	15	15	15
15	3	15	3	15	4	4	4	15	3	15	3	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	4	15	4	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	3	15	3	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	4	15	4	15	4	1	4	15	4	15	4	15
15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	0	15	2	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15
